ICAO,lat,long,cavok,imc,fog,wx,metar,manual,start,end
ESNQ,67.8228,20.3400,48.3,19.1,0.9,SN,173007,50.1,2011-01-01,2020-12-31
ESNG,67.1422,20.6458,49.4,18.4,1.2,SN,170694,48.3,2011-01-01,2020-12-31
ESUP,67.2456,23.0689,41.3,31.6,1.2,SN,87999,11.4,2015-05-28,2020-12-31
ESUT,65.8061,15.0828,26.9,12.5,1.6,SN,160905,4.0,2011-01-01,2020-12-31
ESPE,65.8678,20.1542,53.6,13.4,1.0,SN,144967,18.4,2012-06-28,2020-12-31
ESNX,65.5903,19.2819,47.4,23.1,2.0,SN,150144,28.5,2012-01-04,2020-12-31
ESPA,65.5444,22.1281,55.7,18.8,1.9,SN,171354,72.4,2011-01-01,2020-12-31
ESUD,64.9609,17.6966,44,18.1,2.4,SN,98348,0.0,2012-01-01,2018-04-02
ESNV,64.5791,16.8336,39.1,18.8,1.2,SN,95429,19.0,2015-05-28,2020-12-31
ESNL,64.5500,18.7167,46.4,19.3,1.4,SN,150545,19.7,2012-01-01,2020-12-31
ESNS,64.6247,21.0769,51.6,21.3,1.5,SN,173008,57.0,2011-01-01,2020-12-31
ESNU,63.7918,20.2828,49.8,20.6,2.1,SN,172707,90.4,2011-01-01,2020-12-31
ESNO,63.4117,18.9797,52.7,21.8,3.1,SN,173002,39.4,2011-01-01,2020-12-31
ESNK,63.0486,17.7689,45,16.6,3.4,SN,169592,20.3,2011-01-01,2020-12-31
ESNN,62.5317,17.4361,52.3,16.0,2.1,SN,173508,59.5,2011-01-01,2020-12-31
ESNZ,63.1956,14.5003,44.1,12.7,1.5,SN,156553,61.6,2012-01-01,2020-12-31
ESND,62.0478,14.4229,46.8,15.8,1.6,SN,83983,9.3,2016-02-28,2020-12-31
ESKM,60.9579,14.5114,51.3,14.0,1.0,SN,89968,2.7,2012-01-05,2020-12-31
ESSD,60.4292,15.5008,49.2,16.9,1.2,SN,171648,34.9,2011-01-01,2020-12-31
ESST,60.1576,12.9913,48.5,17.5,2.3,BR,96695,9.2,2015-05-28,2020-12-31
ESOK,59.4447,13.3374,46,19.1,2.5,BR,173164,49.6,2011-01-01,2020-12-31
ESOE,59.2237,15.0380,43.3,17.4,1.7,BR,171221,56.4,2011-01-01,2020-12-31
ESOW,59.5894,16.6336,47.4,15.6,1.3,BR,172223,44.6,2011-01-01,2020-12-31
ESSA,59.6264,17.9508,47.2,17.0,1.3,BR,174151,100.0,2011-01-01,2020-12-31
ESSB,59.3653,17.8978,46.3,16.4,0.7,BR,172587,60.6,2011-01-01,2020-12-31
ESKN,58.7886,16.9122,42.9,15.2,1.8,BR,172444,100.0,2011-01-01,2020-12-31
ESSL,58.4061,15.6805,46.6,13.5,0.8,RA,156079,53.4,2012-01-01,2020-12-31
ESCF,58.3981,15.5258,45.9,13.8,1.4,BR,169511,29.5,2011-01-01,2020-12-31
ESSP,58.5862,16.2506,45,13.5,1.4,BR,172581,53.7,2011-01-01,2020-12-31
ESGR,58.4564,13.9727,46.5,15.3,1.6,BR,160780,3.3,2011-01-01,2020-12-31
ESGT,58.3181,12.3450,33.7,18.3,1.7,BR,92052,71.2,2011-01-10,2020-12-31
ESGP,57.7747,11.8704,35.9,16.2,1.8,BR,99875,92.4,2011-01-01,2017-01-02
ESGG,57.6761,12.2919,33.9,27.3,3.8,BR,173542,100.0,2011-01-01,2020-12-31
ESGJ,57.7514,14.0692,35,24.6,1.4,BR,171892,60.4,2011-01-01,2020-12-31
ESMQ,56.7333,16.3000,44.6,16.3,2.2,BR,173134,56.2,2011-01-01,2020-12-31
ESSV,57.6628,18.3462,44.3,14.1,1.2,BR,172229,64.7,2011-01-01,2020-12-31
ESIB,58.4265,12.7144,44.8,13.1,1.2,BR,171855,29.0,2011-01-01,2020-12-31
ESMX,56.9291,14.7280,33.7,25.5,2.6,BR,173535,58.0,2011-01-01,2020-12-31
ESMT,56.6911,12.8202,32.8,17.1,1.9,BR,172403,45.1,2011-01-01,2020-12-31
ESDF,56.2667,15.2667,39.6,18.3,2.2,BR,170838,58.2,2011-01-01,2020-12-31
ESTA,56.2961,12.8471,34.6,17.8,1.8,BR,156502,57.1,2012-01-01,2020-12-31
ESTL,56.0828,13.2125,33.3,20.0,2.0,BR,143542,15.3,2012-01-01,2020-12-31
ESMK,55.9217,14.0855,36.4,19.3,2.6,BR,169297,37.8,2011-01-01,2020-12-31
ESMS,55.5231,13.3789,36.3,20.8,2.6,BR,174059,99.5,2011-01-01,2020-12-31
EFET,68.3626,23.4243,42,23.5,1.8,SN,82460,1.8,2012-03-15,2020-12-31
EFHA,61.8561,24.7866,37.7,29.0,1.7,SN,157141,18.3,2011-01-01,2020-12-31
EFHF,60.2546,25.0428,34.7,21.3,1.7,RA,106223,54.0,2011-01-01,2017-03-06
EFHK,60.3172,24.9633,30.9,20.9,1.3,SN,174567,100.0,2011-01-01,2020-12-31
EFIV,68.6073,27.4053,36.4,16.0,0.6,SN,171406,19.6,2011-01-01,2020-12-31
EFJO,62.6667,29.6333,36.4,27.0,1.7,SN,101730,30.3,2011-01-01,2020-12-31
EFJY,62.4044,25.6752,35.8,28.9,1.5,SN,172877,12.8,2011-01-01,2020-12-31
EFKA,63.1000,23.0333,38.7,20.6,2.3,SN,66770,28.0,2011-01-01,2014-11-19
EFKE,65.7787,24.5821,45.2,25.4,2.0,SN,171615,22.2,2011-01-01,2020-12-31
EFKI,64.2815,27.6753,36.3,24.0,0.7,SN,173830,24.1,2011-01-01,2020-12-31
EFKK,63.7212,23.1431,43.6,17.0,1.5,SN,172918,41.1,2011-01-01,2020-12-31
EFKS,65.9667,29.1833,31.9,32.8,1.4,SN,172829,13.0,2011-01-01,2020-12-31
EFKT,67.7010,24.8468,41.7,24.8,1.6,SN,155045,22.4,2012-01-01,2020-12-31
EFKU,63.0080,27.7992,38.4,24.0,1.0,SN,173066,13.0,2011-01-01,2020-12-31
EFLP,61.0446,28.1444,39.6,27.1,2.7,SN,170529,11.8,2011-01-01,2020-11-30
EFMA,60.1222,19.8982,45.4,17.1,1.6,RA,172396,35.4,2011-01-01,2020-12-31
EFMI,61.7333,27.3000,36.9,27.9,1.6,SN,165283,3.8,2011-01-01,2020-12-15
EFOU,64.9301,25.3546,44.3,17.5,0.9,SN,174348,0.0,2011-01-01,2020-12-31
EFPO,61.4617,21.8000,42,18.5,1.6,RA,173920,2.8,2011-01-01,2020-12-31
EFRO,66.5584,25.8321,38.2,29.6,5.0,SN,172907,19.4,2011-01-01,2020-12-31
EFSA,61.9431,28.9451,37.4,25.1,1.4,SN,171471,10.7,2011-01-01,2020-12-31
EFSI,62.6921,22.8323,41.7,21.8,2.1,RA,170077,8.0,2011-01-01,2020-12-31
EFTP,61.4200,23.5800,39.2,22.5,1.7,SN,173351,14.3,2011-01-01,2020-12-31
EFTU,60.5141,22.2628,39.8,21.7,2.4,RA,174036,0.0,2011-01-01,2020-12-31
EFUT,60.8964,26.9383,37.7,27.0,2.9,SN,172244,31.7,2011-01-01,2020-12-31
EFVA,63.0506,21.7622,43.4,19.2,1.9,SN,173763,3.7,2011-01-01,2020-12-31
EFVR,62.1711,27.8686,37.1,23.2,1.6,SN,90719,4.6,2011-01-01,2016-04-15
ENAL,62.5617,6.1150,27.6,4.4,0.2,RA,173700,69.8,2011-01-01,2020-12-31
ENAN,69.2925,16.1442,24.3,6.5,0.4,RA,157676,74.6,2011-01-01,2020-12-31
ENAT,69.9775,23.3581,30.7,4.2,0.0,SN,105305,63.0,2011-01-01,2020-12-31
ENBL,61.4500,5.8700,17.5,12.9,1.5,SHRA,87571,93.7,2011-01-01,2020-12-31
ENBN,65.4611,12.2175,31.4,7.7,0.2,SHRA,126118,69.3,2011-01-01,2020-12-31
ENBO,67.2667,14.3667,18.4,2.9,0.1,RA,159719,93.7,2011-01-01,2020-12-31
ENBR,60.2892,5.2264,12.7,8.9,0.5,RA,160157,93.7,2011-01-01,2020-12-31
