station,valid,lon,lat,elevation,metar
ESSA,2011-01-01 00:20,17.9508,59.6264,61.00,ESSA 010020Z 19007KT 1400 -SN BR VV007 M02/M02 Q0981 R01L/720127 NOSIG
ESSA,2011-01-01 00:50,17.9508,59.6264,61.00,ESSA 010050Z 20004KT 4000 -SN BR FEW005 BKN008 M02/M02 Q0980 R01L/720127 TEMPO 2000
ESSA,2011-01-01 01:20,17.9508,59.6264,61.00,ESSA 010120Z 26004KT 5000 -SN BR FEW004 SCT006 BKN009 M02/M02 Q0980 R01L/720127 TEMPO 2000
ESSA,2011-01-01 01:50,17.9508,59.6264,61.00,ESSA 010150Z 28006KT 9999 FEW005 BKN007 BKN012 M01/M02 Q0980 R01L/720127 TEMPO 2000
ESSA,2011-01-01 02:20,17.9508,59.6264,61.00,ESSA 010220Z 31013KT 9999 BKN007 BKN017 M01/M02 Q0980 R01L/720127 TEMPO BKN017
ESSA,2011-01-01 02:50,17.9508,59.6264,61.00,ESSA 010250Z 33013KT 9999 BKN009 M02/M03 Q0980 R01L/720127 TEMPO BKN017
ESSA,2011-01-01 03:20,17.9508,59.6264,61.00,ESSA 010320Z 31011KT 9999 BKN008 M03/M03 Q0981 R01L/720127 TEMPO BKN017
ESSA,2011-01-01 03:50,17.9508,59.6264,61.00,ESSA 010350Z 33012KT 9999 BKN008 SCT030 M03/M04 Q0981 R01L/720127 R08/720127 TEMPO BKN017
ESSA,2011-01-01 04:20,17.9508,59.6264,61.00,ESSA 010420Z 32011KT 9999 BKN008 M03/M04 Q0982 R01L/710137 R08/720127 TEMPO BKN017
ESSA,2011-01-01 04:50,17.9508,59.6264,61.00,ESSA 010450Z 32011KT 2500 SN FEW003 BKN008 M03/M04 Q0982 R01L/710137 R08/720127 TEMPO 3000
ESSA,2011-01-01 05:20,17.9508,59.6264,61.00,ESSA 010520Z 32013KT 7000 -SN BKN008 M03/M04 Q0982 R01L/720135 R08/720127 TEMPO 3000
ESSA,2011-01-01 05:50,17.9508,59.6264,61.00,ESSA 010550Z 32014KT 7000 -SN BKN008 M03/M04 Q0983 R01L/710136 R08/720127 TEMPO 3000
ESSA,2011-01-01 06:20,17.9508,59.6264,61.00,ESSA 010620Z 32014KT 7000 -SN BKN008 M03/M03 Q0983 R01L/710136 R08/720127 NOSIG
ESSA,2011-01-01 06:50,17.9508,59.6264,61.00,ESSA 010650Z 32014KT 6000 -SN BKN007 M02/M03 Q0984 R01L/710136 R08/720127 TEMPO 2500
ESSA,2011-01-01 07:20,17.9508,59.6264,61.00,ESSA 010720Z 32015KT 5000 -SN BKN007 M02/M03 Q0985 R01L/710139 R08/720127 TEMPO 2000
ESSA,2011-01-01 07:50,17.9508,59.6264,61.00,ESSA 010750Z 33014KT 5000 -SN BKN006 M02/M02 Q0986 R01L/710139 R08/720127 TEMPO 2000
ESSA,2011-01-01 08:20,17.9508,59.6264,61.00,ESSA 010820Z 34014KT 3000 -SN BR BKN006 M01/M01 Q0986 R01L/710139 R08/720127 TEMPO 1400 SN
ESSA,2011-01-01 08:50,17.9508,59.6264,61.00,ESSA 010850Z 36017KT 3000 SN BKN006 M01/M01 Q0987 R01L/710139 R08/720127 TEMPO 1400
ESSA,2011-01-01 09:20,17.9508,59.6264,61.00,ESSA 010920Z 36017KT 3000 -SN BR BKN006 M01/M01 Q0988 R01L/710139 R08/720127 TEMPO 4000
ESSA,2011-01-01 09:50,17.9508,59.6264,61.00,ESSA 010950Z 01017KT 3000 -SN BR BKN007 M01/M01 Q0990 R01L/710133 R08/720127 TEMPO 5000
ESSA,2011-01-01 10:20,17.9508,59.6264,61.00,ESSA 011020Z 36016KT 3000 -SN BR BKN007 M01/M01 Q0991 R01L/710133 R08/720127 TEMPO 5000
ESSA,2011-01-01 10:50,17.9508,59.6264,61.00,ESSA 011050Z 36016KT 3000 -SN BR BKN007 M01/M01 Q0991 R01L/710136 R08/720127 NOSIG
ESSA,2011-01-01 11:20,17.9508,59.6264,61.00,ESSA 011120Z 01015KT 5000 -SN BR BKN007 M01/M01 Q0992 R01L/710136 R08/720127 NOSIG
